Comment,Designator,Footprint,LCSC,Quantity
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C8",C_0402_1005Metric,C1525,9
15p,"C3,C4",C_0402_1005Metric,C1548,2
1k,"R2,R4,R6",R_0402_1005Metric,C11702,3
1u,C1,C_0402_1005Metric,C52923,1
27,"R7,R8",R_0402_1005Metric,C25092,2
3.3u,L1,L_pol_2016,C42411119,1
33,R5,R_0402_1005Metric,C25105,1
4.7u,"C10,C6,C7,C9",C_0402_1005Metric,C23733,4
5.1k,"R1,R3",R_0402_1005Metric,C25905,2
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
NCP1117-3.3_SOT223,U2,SOT-23-3,C5446,1
RP2350_60QFN,U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,C41378174,1
SW_Push,"SW1,SW2",SW_SPST_TS-1088-xR020,C720477,2
USB_C_Receptacle,J2,USB-C_16,C165948,1
